ID;Type;Name
0;0;(None)
1;2;Monado
2;2;Junk Sword
3;2;UNUSED_Weapon_3
4;2;Monado II
5;2;Monado III
6;2;UNUSED_Weapon_6
7;2;UNUSED_Weapon_7
8;2;Replica Monado
9;2;UNUSED_Weapon_9
10;2;Scrap Driver
11;2;UNUSED_Weapon_11
12;2;UNUSED_Weapon_12
13;2;UNUSED_Weapon_13
14;2;UNUSED_Weapon_14
15;2;UNUSED_Weapon_15
16;2;UNUSED_Weapon_16
17;2;UNUSED_Weapon_17
18;2;UNUSED_Weapon_18
19;2;Hunting Knives
20;2;UNUSED_Weapon_20
21;2;UNUSED_Weapon_21
22;2;UNK_Weapon_22
23;2;UNUSED_Weapon_23
24;2;UNUSED_Weapon_24
25;2;UNUSED_Weapon_25
26;2;UNUSED_Weapon_26
27;2;UNUSED_Weapon_27
28;2;Homs Sabre
29;2;Anti-Mechon Glaive
30;2;UNUSED_Weapon_30
31;2;UNUSED_Weapon_31
32;2;UNUSED_Weapon_32
33;2;UNUSED_Weapon_33
34;2;UNUSED_Weapon_34
35;2;UNUSED_Weapon_35
36;2;Monado
37;2;Monado
38;2;Gadolt's Rifle
39;2;Shift Rifle
40;2;Gadolt's Cannon
41;2;UNUSED_Weapon_41
42;2;UNUSED_Weapon_42
43;2;UNUSED_Weapon_43
44;2;UNUSED_Weapon_44
45;2;UNUSED_Weapon_45
46;2;UNUSED_Weapon_46
47;2;Hunter Biter
48;2;Warrior Gnasher
49;2;Monapon
50;2;UNUSED_Weapon_50
51;2;UNUSED_Weapon_51
52;2;UNUSED_Weapon_52
53;2;UNUSED_Weapon_53
54;2;UNUSED_Weapon_54
55;2;UNUSED_Weapon_55
56;2;Protect Staff
57;2;Imperial Staff
58;2;UNUSED_Weapon_58
59;2;UNUSED_Weapon_59
60;2;UNUSED_Weapon_60
61;2;UNUSED_Weapon_61
62;2;UNUSED_Weapon_62
63;2;UNUSED_Weapon_63
64;2;UNUSED_Weapon_64
65;2;Mechonis Swords
66;2;UNUSED_Weapon_66
67;2;Meyneth Monado
68;2;UNUSED_Weapon_68
69;2;UNUSED_Weapon_69
70;2;UNUSED_Weapon_70
71;2;UNUSED_Weapon_71
72;2;UNUSED_Weapon_72
73;2;Utopia
74;2;Sabre
75;2;Steel Claws
76;2;Claymore
77;2;Break Sword
78;2;Salvage Sword
79;2;Easy Edge
80;2;UNUSED_Weapon_80
81;2;UNUSED_Weapon_81
82;2;UNUSED_Weapon_82
83;2;UNUSED_Weapon_83
84;2;UNUSED_Weapon_84
85;2;UNUSED_Weapon_85
86;2;UNUSED_Weapon_86
87;2;UNUSED_Weapon_87
88;2;UNUSED_Weapon_88
89;2;UNUSED_Weapon_89
90;2;UNUSED_Weapon_90
91;2;UNUSED_Weapon_91
92;2;UNUSED_Weapon_92
93;2;UNUSED_Weapon_93
94;2;UNUSED_Weapon_94
95;2;Debug Sword
96;2;UNUSED_Weapon_96
97;2;Acrylic Driver
98;2;Aegis Guarder
99;2;Army Pike
100;2;Iron Pike
101;2;Rusty Guarder
102;2;Steady Driver
103;2;Battle Driver
104;2;Heavy Driver
105;2;Peak Driver
106;2;Ace Lancer
107;2;Crown Pike
108;2;Anti-Mechon Driver
109;2;Machina Guarder
110;2;Giant Guarder
111;2;Shield Ramtok
112;2;Flash Shield Elfidar
113;2;Strike Lance Sildra
114;2;Daedalus
115;2;Machina Driver III
116;2;Safe Driver
117;2;Colony Knives
118;2;Defence Knives
